# Tracking fingerprints (drift detection) - maintained by tracking-guardian
# Format: page_id | date | build_or_live | sha256 of tracking-relevant blocks | notes
# Blocks hashed: head dataLayer-init + GTM loader + Clarity scripts, GTM noscript
# iframe, and the injected DNI/tel_click/lead_submit script block. The
# page-data/main finder script (const PAGE ...) is EXCLUDED so data refreshes
# do not read as tracking drift.
p002 | 2026-07-29 | build (lp-system/out/preview/en/go/lines/royal-caribbean/from/galveston/index.html) | b85967f9e6394b2057fd3b700df6f3d267158fc6b54eb4f9493448a05e70b031 | SUPERSEDED same day: baseline after T1/T2/T4 fixes (pre-T6 rebake, pre-DNI)
p007 | 2026-07-30 | build (lp-system/out/preview/en/go/itineraries/5-night-western-caribbean-from-galveston-mariner-of-the-seas/index.html) | 664f02703d468517515b7cca4b9f4458a3c1cce830bb72734ebe516c8aed44c1 | current baseline (audit #8): DNI applyAll +aria-label pass (T-ARIA-DNI fix; only change, proven by reduction replay). Everything else identical to audit-#7 state.
p008 | 2026-07-30 | build (lp-system/out/preview/en/go/ships/mariner-of-the-seas/index.html) | 9a45c5e0517bde1a86adca363b167cfba1ab937932b9cb05bc45a26f3e447181 | current baseline (audit #8): DNI applyAll +aria-label pass (T-ARIA-DNI fix; only change, proven by reduction replay). Everything else identical to audit-#7 state.
#
# AUDIT #7 (2026-07-30, mobile-polish-pass rebake): v1 recipe replayed on
# all three fresh bakes -> hashes MATCH the audit-#6 baselines byte-for-byte
# (p002 f882ddf8..., p007 d607192b..., p008 c5fa7945...). ZERO drift, as
# page-builder predicted. Extracted head/noscript/track blocks diff-identical
# to the audit-#6 extractions; POS array md5-identical across all three
# pages (4147b72672bf1faa2f318fbfa3984bfc). New surfaces (discloseSum,
# cbToggle, .showall, fareSeg, header icon cta, restyled navy-outline CTAs,
# sheet off-state visibility:hidden+pointer-events:none) are render-layer
# only: 95/95 independent jsdom checks (audit7.js + audit7-p008-sheet.js).
# Notables: header nav icon cta -> position 'other' (documented; .nav not
# in POS - adding it would be drift, deferred); fare-cta -> deal-card via
# '.fares' independently re-proven; lead_submit fires once after
# expand+submit, form_mode 'placeholder'. KNOWN CAVEAT RULED A DEFECT
# (task T-ARIA-DNI in tasks.md): nav cta aria-label="Call 1-833-555-0100"
# is NOT swapped by DNI (attribute, not text node) - fixing it will move
# the DNI block hash; EXPECT documented drift at the next audit and
# re-baseline then. Baselines below remain current.
#
# AUDIT #9 (2026-07-30, operator design batch + bugfixes bake). v1 recipe
# replayed on all three fresh bakes -> hashes MATCH the audit-#8 baselines
# BYTE-FOR-BYTE (p002 bec631ef..., p007 664f0270..., p008 9a45c5e0...).
# ZERO drift inside the tracking blocks, as the coordinator predicted; the
# extracted head/noscript/track blocks are diff-IDENTICAL to the audit-#8
# extractions (audit8-*-blocks.txt vs aud9-*-blocks.txt, no differences).
# The batch's changes (disclosure-bar removal + .ind-note, logo lockup,
# NAV_UI_JS backtop/goback, ship-tab + finder imagery, ddpulse, ribbon
# scroll fix, sheet daysHTML restore, .pname 120px, phoneband h2 colour,
# 9 copy rewrites) are all render-layer/CSS/data. 141/141 jsdom checks
# (audit9.js) + 15/15 audit-8 aria regression (audit8-aria.js).
# Baselines above (audit #8 lines) REMAIN CURRENT. Recipe unchanged:
# v1(head+nos+track), tool scratchpad fingerprint.js.
#
# SUPPLEMENTAL FINGERPRINT (new in audit #9, NOT part of the v1 baseline).
# The v1 recipe by design captures only the three tracking blocks, so the
# NEW generator-injected NAV_UI_JS block (back-to-top + conditional header
# Back button, injected before </body> by generate.py) is invisible to it.
# That block is tracking-INERT today but sits one line away from being a
# measurement surface, so it is fingerprinted separately from now on. If
# this hash moves, re-audit the block before accepting the bake. Tool:
# scratchpad navfp.js.
# NAV_UI_JS | 2026-07-30 | identical on p002/p007/p008 |
#   sha256 1073db9fe75f75bb603612314a6afefb0ca9de2cbbfc9be75dc90250abe43cf6
# DATALAYER-SURFACE CENSUS (invariant, all three pages, audit #9):
#   6 <script> blocks total | 3 blocks referencing dataLayer (head init,
#   GTM loader, tel_click+lead_submit block) | 3 literal dataLayer.push()
#   sites | exactly 2 event names in the file: tel_click, lead_submit.
#   Any increase = a new measurement surface; treat as drift and audit it.
#
# POST-AUDIT-#6 REPLAY (2026-07-29, same day): qa-audit-#7 defect rebake
# (D1 legal links -> clean directory URLs /en/legal/terms/ etc. from the
# shared partial + CONSENT_LINKED update; D2 ship-life tiles 46vw->43vw)
# fingerprint-replayed on all three fresh bakes (21:13 files): v1 hashes
# MATCH the audit-#6 baselines above byte-for-byte. ZERO drift, as
# predicted (body/CSS only). Full jsdom suites also re-run clean on the
# rebakes (36/36 + 26/26 + 22/22, incl. clicking the new legal URLs:
# zero dataLayer events). Baselines above remain current.
