asset_id,subject_type,subject_slug,file,source,license_note,alt_text,status,trade_portal_upgrade
a-dck-01,ship-generic,deck-scene,img/ship-generic/deck-scene-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/people-on-a-ship-deck-cruising-on-the-ocean-12473550/; photographer: Esra Geziyor; downloaded 2026-07-29; no line logos or livery visible","Looking down on a ship's aft pool deck at dusk, with hot tubs, stacked loungers and the wake trailing behind",sourced,yes
a-gal-02,port,galveston,img/port/galveston-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/amusement-park-near-body-of-water-2386404/; photographer: Trace Hudson; downloaded 2026-07-29","Galveston Island Historic Pleasure Pier at sunset, with amusement rides above the Gulf surf",sourced,no
a-coz-02,port,cozumel,img/port/cozumel-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/brown-wooden-dock-on-body-of-water-871488/; photographer: LRM Exterior; downloaded 2026-07-29","Aerial view of a beach club pier and clear turquoise water in Cozumel, Mexico",sourced,no
a-cm-02,port,costa-maya,img/port/costa-maya-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/tropical-beach-scene-with-boats-in-mahahual-mexico-29103931/; photographer: 23 Audiovisual; downloaded 2026-07-29","Fishing boats moored off a palm-shaded beach at Mahahual on the Costa Maya, Mexico",sourced,no
a-roa-02,port,roatan,img/port/roatan-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/idyllic-camp-bay-beach-in-honduras-30219384/; photographer: Lucie Liz; downloaded 2026-07-29","White sand and clear blue water at Camp Bay beach on Roatan, Honduras",sourced,no
a-wc-02,dest,western-caribbean,img/dest/western-caribbean-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/turquoise-waves-on-cancun-beach-37668900/; photographer: Margo Evardson; downloaded 2026-07-29","Turquoise waves breaking onto a sandy Caribbean beach near Cancun, Mexico",sourced,no
a-shp-03,ship-generic,ship-at-sea,img/ship-generic/ship-at-sea-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/14712768/; photographer: Ushindi Namegabe; downloaded 2026-07-30; replaced the 2026-07-29 distant-sunset shot; top-down aerial framing: no hull name, no funnel logo and no livery marking is visible or legible at any delivered width","A cruise ship seen from directly overhead, under way on deep blue open ocean with sunlight rippling across the water",sourced,yes
a-dck-02,ship-generic,deck-scene,img/ship-generic/deck-scene-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/people-on-a-ship-deck-cruising-on-the-ocean-12473550/; photographer: Esra Geziyor; downloaded 2026-07-29; no line logos or livery visible","Looking down on a ship's aft pool deck at dusk, with hot tubs, stacked loungers and the wake trailing behind",sourced,yes
a-ws-01,theme,waterslide,img/theme/waterslide-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/thrilling-water-slide-adventure-with-inner-tube-31166924/; photographer: Vika Glitter; downloaded 2026-07-29; land water park, no cruise line branding or livery","A rider on an inflatable tube splashing down a yellow and blue waterslide at a water park",sourced,yes
a-ws-02,theme,waterslide,img/theme/waterslide-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/thrilling-water-slide-adventure-with-inner-tube-31166924/; photographer: Vika Glitter; downloaded 2026-07-29; land water park, no cruise line branding or livery","A rider on an inflatable tube splashing down a yellow and blue waterslide at a water park",sourced,yes
a-din-01,ship-generic,dining,img/ship-generic/dining-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/multiracial-girlfriends-gathering-in-restaurant-for-dinner-4267557/; photographer: Andrea Piacquadio; downloaded 2026-07-29; generic restaurant interior, no venue name or line branding","Three friends talking over dinner and wine at an elegantly set restaurant table in warm lamplight",sourced,yes
a-din-02,ship-generic,dining,img/ship-generic/dining-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/multiracial-girlfriends-gathering-in-restaurant-for-dinner-4267557/; photographer: Andrea Piacquadio; downloaded 2026-07-29; generic restaurant interior, no venue name or line branding","Three friends talking over dinner and wine at an elegantly set restaurant table in warm lamplight",sourced,yes
a-lng-01,ship-generic,lounge-bar,img/ship-generic/lounge-bar-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/young-women-sitting-in-a-bar-and-drinking-cocktails-15965031/; photographer: Aleksandar Andreev; downloaded 2026-07-29; generic lounge interior, no venue name or line branding","Two friends toasting cocktails on a leather sofa in a dimly lit evening lounge",sourced,yes
a-lng-02,ship-generic,lounge-bar,img/ship-generic/lounge-bar-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/young-women-sitting-in-a-bar-and-drinking-cocktails-15965031/; photographer: Aleksandar Andreev; downloaded 2026-07-29; generic lounge interior, no venue name or line branding","Two friends toasting cocktails on a leather sofa in a dimly lit evening lounge",sourced,yes
a-spa-01,theme,spa,img/theme/spa-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-woman-having-a-massage-6628599/; photographer: KoolShooters; downloaded 2026-07-29; land-based spa studio, no venue name or line branding","A massage therapist working on a guest's shoulders in a calm spa room with rolled towels by the window",sourced,yes
a-spa-02,theme,spa,img/theme/spa-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-woman-having-a-massage-6628599/; photographer: KoolShooters; downloaded 2026-07-29; land-based spa studio, no venue name or line branding","A massage therapist working on a guest's shoulders in a calm spa room with rolled towels by the window",sourced,yes
a-sea-01,ship-generic,sea-day,img/ship-generic/sea-day-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/hands-of-a-woman-leaning-on-the-railing-of-a-cruise-ship-24736827/; photographer: Ahmed (@mutecevvil); downloaded 2026-07-29; no ship name, livery or line branding visible","Hands resting on a white deck railing above the foaming wake of a ship at sea",sourced,yes
a-sea-02,ship-generic,sea-day,img/ship-generic/sea-day-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/hands-of-a-woman-leaning-on-the-railing-of-a-cruise-ship-24736827/; photographer: Ahmed (@mutecevvil); downloaded 2026-07-29; no ship name, livery or line branding visible","Hands resting on a white deck railing above the foaming wake of a ship at sea",sourced,yes
a-gal-03,port,galveston,img/port/galveston-beach-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/beach-day-27502377/; photographer: Dee Loo; downloaded 2026-07-29; taken at Galveston TX","A family relaxing under a blue canopy umbrella on the sand at Galveston beach while swimmers wade in the surf",sourced,no
a-shh-01,ship-generic,ship-hero,img/ship-generic/ship-hero-hero.webp,unsplash,"Unsplash License (free for commercial use, not Unsplash+); photo: https://unsplash.com/photos/MeGmdPNe36w; photographer: Peter Hansen (@petross); downloaded 2026-07-30; CROPPED at source: right-hand 120px of the 2400px original removed to take partially visible stern lettering out of frame; delivered frame carries no hull name, no wordmark and no funnel logo; one illuminated abstract deck emblem about 33px wide at 1600px remains, with no readable text","A large modern cruise ship under way at dusk, its tiered balconies and lit decks standing against a bank of evening cloud",sourced,yes
a-shh-02,ship-generic,ship-hero,img/ship-generic/ship-hero-section.webp,unsplash,"Unsplash License (free for commercial use, not Unsplash+); photo: https://unsplash.com/photos/MeGmdPNe36w; photographer: Peter Hansen (@petross); downloaded 2026-07-30; CROPPED at source: right-hand 120px of the 2400px original removed to take partially visible stern lettering out of frame; delivered frame carries no hull name, no wordmark and no funnel logo","A large modern cruise ship under way at dusk, its tiered balconies and lit decks standing against a bank of evening cloud",sourced,yes
a-shh-03,ship-generic,ship-hero,img/ship-generic/ship-hero-card.webp,unsplash,"Unsplash License (free for commercial use, not Unsplash+); photo: https://unsplash.com/photos/MeGmdPNe36w; photographer: Peter Hansen (@petross); downloaded 2026-07-30; CROPPED at source: right-hand 120px of the 2400px original removed to take partially visible stern lettering out of frame; delivered frame carries no hull name, no wordmark and no funnel logo","A large modern cruise ship under way at dusk, its tiered balconies and lit decks standing against a bank of evening cloud",sourced,yes
a-shd-01,ship-generic,ship-docked,img/ship-generic/ship-docked-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/17218932/; photographer: DeLuca G; downloaded 2026-07-30; top-down aerial framing: hull sides are not in view, so no ship name, funnel logo or livery is visible or legible","Overhead view of a cruise ship tied up alongside a concrete pier, with its pools, funnel and lifeboat decks laid out below",sourced,yes
a-shd-02,ship-generic,ship-docked,img/ship-generic/ship-docked-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/17218932/; photographer: DeLuca G; downloaded 2026-07-30; top-down aerial framing: hull sides are not in view, so no ship name, funnel logo or livery is visible or legible","Overhead view of a cruise ship tied up alongside a concrete pier, with its pools, funnel and lifeboat decks laid out below",sourced,yes
a-shb-01,ship-generic,ship-balcony,img/ship-generic/ship-balcony-section.webp,unsplash,"Unsplash License (free for commercial use, not Unsplash+); photo: https://unsplash.com/photos/shBk33gUv3Q; photographer: Sheila Jellison (@mimaworld); downloaded 2026-07-30; taken from the ship looking outward, so no name, funnel logo, livery or venue sign appears in frame","Looking forward along a ship's open teak promenade deck at dusk, past the rail to calm water and a fading sunset",sourced,yes
a-shb-02,ship-generic,ship-balcony,img/ship-generic/ship-balcony-card.webp,unsplash,"Unsplash License (free for commercial use, not Unsplash+); photo: https://unsplash.com/photos/shBk33gUv3Q; photographer: Sheila Jellison (@mimaworld); downloaded 2026-07-30; taken from the ship looking outward, so no name, funnel logo, livery or venue sign appears in frame","Looking forward along a ship's open teak promenade deck at dusk, past the rail to calm water and a fading sunset",sourced,yes
a-shi-01,ship-generic,ship-interior,img/ship-generic/ship-interior-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/38285141/; photographer: Judit Juhasz; downloaded 2026-07-30; CROPPED at source: bottom 1120px of the 3200px original removed to take branded folded towels out of frame; remaining frame shows no venue name, line mark or readable signage","A glass-domed indoor pool on a ship, with a blue and green mosaic wave wall, two whirlpools and rows of empty loungers",sourced,yes
a-shi-02,ship-generic,ship-interior,img/ship-generic/ship-interior-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/38285141/; photographer: Judit Juhasz; downloaded 2026-07-30; CROPPED at source: bottom 1120px of the 3200px original removed to take branded folded towels out of frame; remaining frame shows no venue name, line mark or readable signage","A glass-domed indoor pool on a ship, with a blue and green mosaic wave wall, two whirlpools and rows of empty loungers",sourced,yes
a-shn-01,ship-generic,ship-night,img/ship-generic/ship-night-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/14397388/; photographer: Luis Kuthe; downloaded 2026-07-30; night backlit framing: no funnel logo in frame; bow lettering is a low-contrast smudge that needed 3x nearest-neighbour magnification of the delivered 1600px file before any character could be resolved, so it is not legible in use","A brightly lit cruise ship moving down a harbour channel at night, its lights reflecting in still black water",sourced,yes
a-shn-02,ship-generic,ship-night,img/ship-generic/ship-night-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/14397388/; photographer: Luis Kuthe; downloaded 2026-07-30; night backlit framing: no funnel logo in frame; bow lettering is a low-contrast smudge that needed 3x nearest-neighbour magnification of the delivered 1600px file before any character could be resolved, so it is not legible in use","A brightly lit cruise ship moving down a harbour channel at night, its lights reflecting in still black water",sourced,yes
a-shbw-01,ship-generic,ship-bow,img/ship-generic/ship-bow-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/luxury-cruise-ship-docked-in-caribbean-port-30070291/; photographer: Sergii; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x and 5x: no hull name, no ship name and no wordmark anywhere in frame; the bow carries an abstract painted wave livery with no lettering; shore signage in the far background is an unreadable blur at 5x","The bow of a cruise ship tied up at a Caribbean pier, rising head on above clear turquoise water with a green hillside behind",sourced,yes
a-shbw-02,ship-generic,ship-bow,img/ship-generic/ship-bow-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/luxury-cruise-ship-docked-in-caribbean-port-30070291/; photographer: Sergii; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x and 5x: no hull name, no ship name and no wordmark anywhere in frame; the bow carries an abstract painted wave livery with no lettering","The bow of a cruise ship tied up at a Caribbean pier, rising head on above clear turquoise water with a green hillside behind",sourced,yes
a-shla-01,ship-generic,ship-lowangle,img/ship-generic/ship-lowangle-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/white-cruise-ship-under-the-sky-14494526/; photographer: Hacerrusa; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED at source: bottom 44.6 percent of the 2592x3888 original removed (kept 2592x2155) to take a large painted hull name and the line's flag emblem out of frame; delivered frame re-checked at 2x and carries no name, wordmark or emblem","Looking up at the tiered balconies and sweeping curved decks of a cruise ship's superstructure against a bank of cloud",sourced,yes
a-shla-02,ship-generic,ship-lowangle,img/ship-generic/ship-lowangle-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/white-cruise-ship-under-the-sky-14494526/; photographer: Hacerrusa; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED at source: bottom 44.6 percent of the 2592x3888 original removed (kept 2592x2155) to take a large painted hull name and the line's flag emblem out of frame; delivered frame carries no name, wordmark or emblem","Looking up at the tiered balconies and sweeping curved decks of a cruise ship's superstructure against a bank of cloud",sourced,yes
a-shar-01,ship-generic,ship-aerial,img/ship-generic/ship-aerial-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/drone-shot-of-sailing-vessel-18944439/; photographer: Karim Alomar; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED for aspect only: bottom 25 percent of the 2115x3760 original (open water) removed to reach a 3:4 frame, no text involved; checked at 2x: no ship name, no wordmark, no funnel logo in frame","Looking down from high on a ship at its bow and forward decks, with crew on the foredeck and deep blue open water alongside",sourced,yes
a-shar-02,ship-generic,ship-aerial,img/ship-generic/ship-aerial-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/drone-shot-of-sailing-vessel-18944439/; photographer: Karim Alomar; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED for aspect only: bottom 25 percent of the 2115x3760 original (open water) removed, no text involved; checked at 2x: no ship name, no wordmark, no funnel logo in frame","Looking down from high on a ship at its bow and forward decks, with crew on the foredeck and deep blue open water alongside",sourced,yes
a-shpr-01,ship-generic,ship-pier,img/ship-generic/ship-pier-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/high-angle-shot-of-a-cruise-ship-on-the-pier-13589810/; photographer: Ivan Z Photography; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x across the full frame: no ship name, no wordmark, no funnel logo and no character mark anywhere; CURATOR NOTE: the black hull, orange sheer stripe and yellow lifeboats are recognisable to enthusiasts as a Disney Cruise Line ship even though no mark is in frame, so consider leaving this slug out of rotations on pages about a different line","A large cruise ship moored alongside a Caribbean pier, its balconies and lifeboats above turquoise water with mooring lines running to the dock",sourced,yes
a-shpr-02,ship-generic,ship-pier,img/ship-generic/ship-pier-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/high-angle-shot-of-a-cruise-ship-on-the-pier-13589810/; photographer: Ivan Z Photography; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no wordmark, no funnel logo and no character mark anywhere; CURATOR NOTE: hull livery is recognisable to enthusiasts as a Disney Cruise Line ship although no mark is in frame","A large cruise ship moored alongside a Caribbean pier, its balconies and lifeboats above turquoise water with mooring lines running to the dock",sourced,yes
a-shpr-03,ship-generic,ship-pier,img/ship-generic/ship-pier-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/high-angle-shot-of-a-cruise-ship-on-the-pier-13589810/; photographer: Ivan Z Photography; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no wordmark, no funnel logo and no character mark anywhere; CURATOR NOTE: hull livery is recognisable to enthusiasts as a Disney Cruise Line ship although no mark is in frame","A large cruise ship moored alongside a Caribbean pier, its balconies and lifeboats above turquoise water with mooring lines running to the dock",sourced,yes
a-shsn-01,ship-generic,ship-sunset,img/ship-generic/ship-sunset-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/scenic-view-of-a-cruise-ship-in-the-caribbean-sea-11820070/; photographer: G.isle px.; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED at source: left 23.1 percent and the top and bottom margins of the 5184x3456 original removed (kept x 23.1-100 percent, y 16.9-81.7 percent) to take the painted bow name out of frame; delivered frame re-checked at 2x and 4x: no name on bow or stern; a small funnel emblem carries no readable text","A cruise ship lying still under a burning orange and pink sunset sky, with a small tender crossing the water beside it",sourced,yes
a-shsn-02,ship-generic,ship-sunset,img/ship-generic/ship-sunset-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/scenic-view-of-a-cruise-ship-in-the-caribbean-sea-11820070/; photographer: G.isle px.; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED at source: left 23.1 percent and the top and bottom margins of the 5184x3456 original removed to take the painted bow name out of frame; delivered frame carries no name on bow or stern; a small funnel emblem carries no readable text","A cruise ship lying still under a burning orange and pink sunset sky, with a small tender crossing the water beside it",sourced,yes
a-shsn-03,ship-generic,ship-sunset,img/ship-generic/ship-sunset-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/scenic-view-of-a-cruise-ship-in-the-caribbean-sea-11820070/; photographer: G.isle px.; downloaded 2026-07-30; license verified on the photo page (Free to use); CROPPED at source: left 23.1 percent and the top and bottom margins of the 5184x3456 original removed to take the painted bow name out of frame; delivered frame carries no name on bow or stern","A cruise ship lying still under a burning orange and pink sunset sky, with a small tender crossing the water beside it",sourced,yes
a-shsp-01,ship-generic,ship-sports,img/ship-generic/ship-sports-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/athletic-stadium-in-sunlight-19803413/; photographer: Stephan Leuzinger; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo in frame; the only lettering is a facility direction sign reading ROCK CLIMBING WALL","Climbers on a ship's outdoor rock wall above curved rows of brightly coloured open air seating, with a spiral waterslide alongside",sourced,yes
a-shsp-02,ship-generic,ship-sports,img/ship-generic/ship-sports-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/athletic-stadium-in-sunlight-19803413/; photographer: Stephan Leuzinger; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo in frame; the only lettering is a facility direction sign reading ROCK CLIMBING WALL","Climbers on a ship's outdoor rock wall above curved rows of brightly coloured open air seating, with a spiral waterslide alongside",sourced,yes
a-shsp-03,ship-generic,ship-sports,img/ship-generic/ship-sports-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/athletic-stadium-in-sunlight-19803413/; photographer: Stephan Leuzinger; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo in frame; the only lettering is a facility direction sign reading ROCK CLIMBING WALL","Climbers on a ship's outdoor rock wall above curved rows of brightly coloured open air seating, with a spiral waterslide alongside",sourced,yes
a-shdk-01,ship-generic,ship-decks,img/ship-generic/ship-decks-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-swimming-pool-and-jacuzzis-on-a-deck-of-a-ship-13048487/; photographer: Mattingly Marinaccio; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo; a bar's own venue logo repeats on one wall at about 15 pixels wide at delivered size and reads as decoration, not as a line mark","A ship's pool deck at twilight, its long pool and hot tubs lit blue beneath a floodlit funnel and strings of deck lights",sourced,yes
a-shdk-02,ship-generic,ship-decks,img/ship-generic/ship-decks-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-swimming-pool-and-jacuzzis-on-a-deck-of-a-ship-13048487/; photographer: Mattingly Marinaccio; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo; a bar's own venue logo repeats on one wall at a size that reads as decoration, not as a line mark","A ship's pool deck at twilight, its long pool and hot tubs lit blue beneath a floodlit funnel and strings of deck lights",sourced,yes
a-shdk-03,ship-generic,ship-decks,img/ship-generic/ship-decks-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-swimming-pool-and-jacuzzis-on-a-deck-of-a-ship-13048487/; photographer: Mattingly Marinaccio; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo in frame","A ship's pool deck at twilight, its long pool and hot tubs lit blue beneath a floodlit funnel and strings of deck lights",sourced,yes
a-shfd-01,ship-generic,ship-foredeck,img/ship-generic/ship-foredeck-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/empty-deck-of-large-cruise-ship-20199321/; photographer: Jatinder Singh Kang; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo; the only lettering is the operational deck marking WINCH ONLY","Looking down over a ship's foredeck and rows of empty loungers toward a flat grey sea under a low bank of cloud",sourced,yes
a-shfd-02,ship-generic,ship-foredeck,img/ship-generic/ship-foredeck-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/empty-deck-of-large-cruise-ship-20199321/; photographer: Jatinder Singh Kang; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark and no funnel logo; the only lettering is the operational deck marking WINCH ONLY","Looking down over a ship's foredeck and rows of empty loungers toward a flat grey sea under a low bank of cloud",sourced,yes
a-shws-01,ship-generic,ship-waterslide,img/ship-generic/ship-waterslide-section.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-blue-and-orange-spiral-tube-slide-on-a-ship-deck-12473549/; photographer: esrageziyor; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark, no funnel logo and no readable signage anywhere in frame","Blue and orange spiral waterslides coiling above a ship's upper deck in the last light of the evening",sourced,yes
a-shws-02,ship-generic,ship-waterslide,img/ship-generic/ship-waterslide-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/a-blue-and-orange-spiral-tube-slide-on-a-ship-deck-12473549/; photographer: esrageziyor; downloaded 2026-07-30; license verified on the photo page (Free to use); no crop; checked at 2x: no ship name, no line wordmark, no funnel logo and no readable signage anywhere in frame","Blue and orange spiral waterslides coiling above a ship's upper deck in the last light of the evening",sourced,yes
